              Print original data 

        Donors ID               Donations

          334  ----------------  901.64
          974  ----------------  364.32
          625  ----------------  216.77
          572  ----------------  678.00
          705  ----------------  543.40
          957  ----------------  126.81
          207  ----------------  468.50
          539  ----------------  979.97
          714  ----------------  755.12
          656  ----------------  113.48
          150  ----------------  503.23
          869  ----------------  297.10
          979  ----------------  605.47
          402  ----------------  284.93
          849  ----------------  159.14
          579  ----------------  274.01
          744  ----------------  589.65
          897  ----------------  480.59
          260  ----------------  358.35
          412  ----------------  389.11
          872  ----------------  393.04
          620  ----------------  636.36
          677  ----------------  174.31
          478  ----------------  709.55
          831  ----------------  432.78
          955  ----------------  104.77
          857  ----------------  450.73
          169  ----------------  632.95
          570  ----------------  450.00
          607  ----------------  669.00
          235  ----------------  323.93
          908  ----------------  560.62
          610  ----------------  737.29
          796  ----------------  911.11
          268  ----------------  520.37
          657  ----------------  325.96
          477  ----------------  737.27
          497  ----------------  414.76
          402  ----------------  352.99
          176  ----------------  178.25
          815  ----------------  111.11
          729  ----------------  889.78
          982  ----------------  440.46
          405  ----------------  696.04
          258  ----------------  737.46
          116  ----------------  432.85
          419  ----------------  108.00
          852  ----------------  542.99
          352  ----------------  235.05
          706  ----------------  325.45

      Print after ascending order sort data:

        Donors ID               Donations

          116  ----------------  432.85
          150  ----------------  503.23
          169  ----------------  632.95
          176  ----------------  178.25
          207  ----------------  468.50
          235  ----------------  323.93
          258  ----------------  737.46
          260  ----------------  358.35
          268  ----------------  520.37
          334  ----------------  901.64
          352  ----------------  235.05
          402  ----------------  284.93
          402  ----------------  352.99
          405  ----------------  696.04
          412  ----------------  389.11
          419  ----------------  108.00
          477  ----------------  737.27
          478  ----------------  709.55
          497  ----------------  414.76
          539  ----------------  979.97
          570  ----------------  450.00
          572  ----------------  678.00
          579  ----------------  274.01
          607  ----------------  669.00
          610  ----------------  737.29
          620  ----------------  636.36
          625  ----------------  216.77
          656  ----------------  113.48
          657  ----------------  325.96
          677  ----------------  174.31
          705  ----------------  543.40
          706  ----------------  325.45
          714  ----------------  755.12
          729  ----------------  889.78
          744  ----------------  589.65
          796  ----------------  911.11
          815  ----------------  111.11
          831  ----------------  432.78
          849  ----------------  159.14
          852  ----------------  542.99
          857  ----------------  450.73
          869  ----------------  297.10
          872  ----------------  393.04
          897  ----------------  480.59
          908  ----------------  560.62
          955  ----------------  104.77
          957  ----------------  126.81
          974  ----------------  364.32
          979  ----------------  605.47
          982  ----------------  440.46

      Print after descending order sort data:

        Donors ID               Donations

          982  ----------------  440.46
          979  ----------------  605.47
          974  ----------------  364.32
          957  ----------------  126.81
          955  ----------------  104.77
          908  ----------------  560.62
          897  ----------------  480.59
          872  ----------------  393.04
          869  ----------------  297.10
          857  ----------------  450.73
          852  ----------------  542.99
          849  ----------------  159.14
          831  ----------------  432.78
          815  ----------------  111.11
          796  ----------------  911.11
          744  ----------------  589.65
          729  ----------------  889.78
          714  ----------------  755.12
          706  ----------------  325.45
          705  ----------------  543.40
          677  ----------------  174.31
          657  ----------------  325.96
          656  ----------------  113.48
          625  ----------------  216.77
          620  ----------------  636.36
          610  ----------------  737.29
          607  ----------------  669.00
          579  ----------------  274.01
          572  ----------------  678.00
          570  ----------------  450.00
          539  ----------------  979.97
          497  ----------------  414.76
          478  ----------------  709.55
          477  ----------------  737.27
          419  ----------------  108.00
          412  ----------------  389.11
          405  ----------------  696.04
          402  ----------------  352.99
          402  ----------------  284.93
          352  ----------------  235.05
          334  ----------------  901.64
          268  ----------------  520.37
          260  ----------------  358.35
          258  ----------------  737.46
          235  ----------------  323.93
          207  ----------------  468.50
          176  ----------------  178.25
          169  ----------------  632.95
          150  ----------------  503.23
          116  ----------------  432.85
